question	answer
"Вопрос 1: Есть версия, что в старину во Франции участники процесса сидели верхом
на лошадях и были разделены шестами, отстоящими друг от друга примерно
на десять ярдов. Отсюда и фраза, ставшая практически официальным
термином. Назовите этот термин.        "	"Ответ: ""К барьеру!""    "
"Вопрос 2: Несколько лет назад одно из зданий на Байконуре переоборудовали и
оснастили старыми обрезанными газовыми баллонами, которые регулярно
используются неким служащим. Назовите его специализацию.        "	Ответ: Звонарь.    
"Вопрос 3: В вольном пересказе стихи аббата Делиля об этом выглядят так: ""Аббат
любил делать это самостоятельно. Сначала их золото он превращал в цвет
черного дерева, затем заставлял их кричать под железными зубцами, после
чего погружал в воду. И уж затем, также в одиночестве, получал
наслаждение"". От чего же?        "	Ответ: От кофе.    
"Вопрос 4: Сегодня известны уже более 50 тысяч их разновидностей. Например, к ним
можно отнести ""червей"", ""коня"" и т.д. Впервые Евгений столкнулся с ними
в 1989 году и впоследствии стал их заклятым врагом. К настоящему времени
он активно сотрудничает с компаниями ""Форд"", ""Моторола"" и ""Нокиа"". Какую
фамилию носит этот Евгений?        "	Ответ: Касперский.    
"Вопрос 5: Демокрит ограничился определением, что это ""истечение тонкого из
тяжелого"". Героя Михаила Булгакова, по его собственным ощущениям, это
омолодило, а американскому актеру принесло ""Оскар"" за исполнение главной
роли. Что это?        "	Ответ: Запах.    
"Вопрос 6: На юмористической карте конца XIX века все государства представлены в
виде людей или животных, врисованных в контуры их границ. Так Россия
представлена в виде страшного голодного мужика с плетеной корзиной за
плечами, рвущегося в Европу. Под ней дремлет одалиска — Турция,
окутанная парами наргиле. Также на этой карте можно найти изображение
пожилой дамы, со злостью держащей на поводке неукротимую собачку.
Назовите в правильном порядке и даму, и собачку.        "	Ответ: Англия и Ирландия.    
"Вопрос 7: ""Живая азбука"" Саши Черного заканчивается так:"	    Ягуар — гроза лесов.
"Вопрос 8: Надежда вошла в историю России, Агнесса (имя весьма предположительное) —
в историю Западной Европы. В один ряд с ними можно поставить и героиню
комедии Шекспира. А если вы вспомните общую для них особенность
поведения в течение достаточно длительного срока, то назовете имя и
фамилию дважды ""оскароносца"", делавшего то же, что и они, но с точностью
""до наоборот"".        "	Ответ: Дастин Хофман.    
"Вопрос 10: В казино ""Голден Пэлас"" недавно открыли комнату для самых азартных и
богатых игроков. Игра там ведется только на очень высокие ставки.
Название комнаты состоит из сокращения, знакомого всем еще со школьной
скамьи, а полное название комнаты еще раз дает понять, что ставки здесь
нешуточные. Напишите название этой комнаты так, как это сделали в
""Голден Пэлас"".        "	Ответ: AU-Room.    
"Вопрос 1: Кельтский бог земли и плодородия Дагда был богом земледельцев. Своей
необычайной физической силой этот бог был обязан исключительно своему
любимому блюду. А вот герой Никиты Михалкова не сумел даже распознать
этой пищи богов, изумленно спрашивая, что это. Что же он услышал в
ответ?        "	"Ответ: ""Овсянка, сэр!""    "
"Вопрос 2: Есть версия, что мысль об ЭТОМ впервые пришла в голову луизианскому
плантатору-бизнесмену Оливеру Поллаку, — кто знает, может быть, ему был
дан знак. Благодаря конгрессмену Роберту Моррису 1 апреля 1778 года ЭТО
приобрело официальный государственный статус. А в наше время каждый
может воспроизвести ЭТО, ткнув в НЕГО пальцем. ЭТО и должно стать вашим
ответом.        "	Ответ: Знак доллара.    
"Вопрос 3: На Руси перед Великим постом во время прощания с Масленицей очищали
посуду от жира, все мылись в бане, мужики полоскали зубы водкой, якобы
для того, чтобы выполоскать изо рта остатки скоромного, а в некоторых
местах, считая, что водки недостаточно, еще и ""вытряхивали блины"". Каким
исконно русским способом они это осуществляли?        "	Ответ: Кулачные бои.    
"Вопрос 4: В статье русского писателя, названной именами двух известнейших героев
мировой литературы, отмечено, что первые издания книг, в которых они
действуют, появились практически одновременно. Первый, по мнению автора,
представляет ""анализ, прежде всего, и эгоизм, а поэтому безверие"". О
втором сказано, что он выражает ""веру в нечто вечное, незыблемое, в
истину, одним словом..."" Назовите этих героев в правильном порядке.        "	Ответ: Гамлет, Дон Кихот.    
"Вопрос 5: В поэме Николая Переяслова ""Достояние истории"" упоминаются Христос и
апостолы, Толстой и Достоевский... Причем не только эти, но и другие
слова поэмы отличаются своеобразным написанием. Назовите европейскую
столицу, упомянутую в этом произведении.        "	Ответ: Стокгольм.    
"Вопрос 6: В рекламе выгодной распродажи автомобилей марки Hyundai был использован
слоган, представляющий собой русскую поговорку, в одном слове которой
была изменена всего одна буква. Кстати, если эту букву прочитать как
латинскую, поговорка будет звучать без изменений. Воспроизведите слоган.        "	Ответ: Корейка рубль бережет.    
Вопрос 7: Вам предстоит закончить четверостишие поэта Лобова:	    Она еще поставит не одну.
"Вопрос 8: На рынок США недавно был выпущен новый напиток под названием dnL (три
английские буквы: строчное ""дэ"", строчное ""эн"", заглавное ""эль"").
Внимательный покупатель может понять, что этот напиток является всего
лишь вариацией другого популярного напитка. А как этот напиток
называется?        "	Ответ: 7 up.    
"Вопрос 9: Первый глагол на воровском жаргоне означает ""обворовывать спящего"".
Второй употребляется шулерами в значении ""играть в карты"" или же
""избивать кого-то"". Так или иначе, но вам придется назвать известную
русскую поговорку, которая содержит однокоренные существительные к обоим
глаголам.        "	Ответ: Не мытьем, так катаньем.    
"Вопрос 10: Существует древнее поверье, согласно которому человек, сделавший это, не
перешагнет порог двойного цикла Сатурна — сейчас это 60 лет. Великий
князь Симеон Гордый сделал это в XIV веке, сделали это Ленин и Петр I, и
до 60 не дожили все трое. Известный киноартист поведал нам о
географическом объекте, где, ко всеобщему сожалению, это сделать
невозможно — просто не с чем. Какое название носит этот географический
объект?        "	Ответ: Остров Невезения.    
"Вопрос 1: У Гюнтера Грасса в ""Собачьих годах"" есть следующий эпизод: ""Но прежде
чем ИКСЫ и ИГРЕКИ, сперва ручейком, потом мощным потоком повлекут его и
нас по течению дискуссии, давайте помолимся... О Ты, великий творец
динамической и нескончаемо длящейся дискуссии, Ты, кто создал ИКС и
ИГРЕК, Ты, который даешь слово и лишаешь слова, да пребудет с нами Твоя
поддержка и опора..."" Внимание, вопрос! Не будем спрашивать вас, что
такое ИКС, лучше правильно напишите ИГРЕК.        "	Ответ: Ответ.    
"Вопрос 2: Если верить герою Хайнлайна, ОНА вызывает зависимость куда худшую, чем
курение марихуаны, но более дешевую, чем употребление героина. К тому же
заснуть без НЕЕ трудно. А когда профессор Московского университета
Мерзляков спросил у Жуковского, чего можно ожидать от вступившего на
престол Николая I, поэт ответил, что судить о том можно хотя бы по тому,
что он ни разу не видел императора с НЕЙ. Назовите ЕЕ.        "	Ответ: Книга.    
"Вопрос 3: В Советском Союзе были весьма популярны альтернативные расшифровки
официальных аббревиатур. Например, ВСНХ — в действительности Высший
Совет Народного Хозяйства — для коммунистов означало ""Всем Скверно — Нам
Хорошо"", для нэпманов — ""Воруй Смело — Нет Хозяина"". Как эта
аббревиатура расшифровывалась для евреев, если ""Н"" означало ""На"", а ""Х""
— ""Холера""?        "	Ответ: Холера на Советскую Власть.    
"Вопрос 4: Сейчас в определенной области Испания занимает первое место в мире,
несмотря на морально-этическую сложность проблемы. В свое время к ее
решению подключилось правительство, общественность и церковь. На дверях
храмов появились плакаты: ""Не берите их на небо, там они вам не
понадобятся. Оставьте их здесь, они нужны"". Посредством какой операции
этот призыв реализуется на практике?        "	Ответ: Трансплантация.    
"Вопрос 5: В свое время многие россияне признавались, что ""читать учились по
Брокару"". Именно он поместил буквы русского алфавита на продукцию,
которая сразу завоевала признание у российского потребителя. Многие
современные производители, экспериментируя с цветом, формой и некоторыми
другими свойствами, сохранили за одним конкретным видом той же продукции
название, данное когда-то Брокаром. Какое же название дал этой продукции
сам Брокар?        "	"Ответ: Мыло ""Детское"".    "
Вопрос 6: Послушайте отрывок из стихотворения Мигеля де Унамуно:	    Рисаля и Хуареса народ:
"Вопрос 7: В рамках общеобразовательного вещания Би-Би-Си недавно показало массовые
гонки, судил и комментировал которые университетский преподаватель. Мы
не просим вас назвать ни участников этих гонок, ни цель, к которой они
стремились. Назовите любого из тех двоих людей, благодаря которым
впервые была описана внешность этих участников.        "	Ответ: Левенгук.    
"Вопрос 8: В телесериале ""Пан или пропал"" по мотивам детективного романа Иоанны
Хмелевской ""Всё красное"" все серии называются так же, как то или иное
литературное произведение. Есть серии ""Гордость и предубеждение"" (роман
Джейн Остен), ""Шум и ярость"" (роман Уильяма Фолкнера), ""Жизнь и судьба""
(роман Василия Гроссмана). А как называется последняя серия этого
фильма?        "	"Ответ: ""Преступление и наказание"".    "
"Вопрос 9: На советской карикатуре 1956 года изображены петух и лев, спасающиеся
бегством от мифологического чудовища. Какого?        "	Ответ: Сфинкса.    
"Вопрос 10: Вот уже 75 лет, как люди получили возможность делать ЭТО. Дети и
взрослые всего мира продолжают соревноваться, хотя большинству из них
вряд ли удастся побить рекорд Сьюзан Уильямс из Калифорнии, которая в
свое время сделала ЭТО диаметром 58,4 сантиметра. Сьюзан выросла, но до
сих пор является признанным экспертом в области ЭТОГО. Например, она
советует контролировать температуру в помещении, где проводятся
испытания и смазывать лицо маслянистым лосьоном. Из чего же делают ЭТО?        "	Ответ: Из жвачки.    
"Вопрос 1: В начале нашей эры группа систематизаторов, работая над собранием
единого корпуса текстов одного известнейшего автора, все отрывки,
касающиеся философии, чисто формально поставила в тексте после некоей
науки, дав, тем самым, название новой области знания. После какой же
науки тексты были поставлены?        "	Ответ: После физики.    
"Вопрос 2: Степень деформации ее окружения из тополиного дерева стала ""больше, чем
было отмечено ранее"", что обусловило обеспокоенность работников одного
из европейских учреждений культуры. Но это беспокойство, по-видимому,
гораздо меньше того, какое было в 1911 году, когда поиски привели в
гостиницу. Назовите предмет тревоги.        "	"Ответ: Картина ""Мона Лиза"".    "
"Вопрос 3: Когда герой романа Лукьяненко и Буркина ""Остров Русь"" Иван-дурак,
победив Кащея Бессмертного, начал освобождать из подвалов Кащеевых
томившихся там узников, то, заглянув в одну из камер, он увидел узника,
который дописывал что-то на стене и решил его не выпускать из
антихулиганских соображений. Кстати, а как звали узника?        "	Ответ: Вася.    
"Вопрос 4: Михаила в детстве дразнили Геростратом, Порфирия — Эфиальтом. Но нам они
известны не под этими именами и прозвищами. Назовите их так, как это
сделал врач.        "	Ответ: Толстый и тонкий.    
"Вопрос 5: Центральная часть некоего города ограничена треугольником площадей
""Омония"" (""Согласие""), ""Синтагма"" (""Конституция"") и ""Монастираки"". В
2004 году на движение транспорта по крайней левой полосе всех крупнейших
автострад было наложено ограничение. А какое название это полоса
получила?        "	Ответ: Олимпийская полоса.    
"Вопрос 6: В Западной Африке для этого использовали и продолжают использовать жилки
листа, животный жир, сердцевину пальмы, наросты из мха, раковины каури,
а в Камеруне — даже навоз. Назовите заглавного персонажа
западноевропейской литературы, который занимался этим профессионально.        "	"Ответ: Фигаро (""Севильский цирюльник"").    "
"Вопрос 7: Какая игра содержит в своем названии то, что, в свою очередь, содержит в
себе 85% воды?        "	Ответ: Брэйн-ринг.    
Вопрос 8: Закончите гарик Игоря Губермана:	    И все ее прощаю непотребства
"Вопрос 9: 10 июля 1980 года в больницу Грейди Мемориал (США) поступил 52-летний
Уилли Джонс. ЭТОТ параметр составлял 46,5. За это Джонса и включили в
Книгу рекордов Гиннесса, что впрочем, объяснялось диагнозом. Каким же?        "	Ответ: Тепловой удар.    
"Вопрос 10: Владелец лондонской галереи ИЗО Мэттью Боун говорил по поводу одной из
выставок: ""Если у вас хромофобия, то она приведет вас в восхищение"".
Документальные снимки какого человека, представленные на упомянутой
выставке, охарактеризованы сайтом Британской радиовещательной корпорации
в отличие от других экспонатов как ""жестокая реальность""?        "	Ответ: Майкла Джексона.    
"Вопрос 1: Как говорится, начнем благословясь. В 1867 году был спущен на воду
монитор ""Русалка"". Корабли такого типа имели невысокие мореходные
качества и часто терпели аварии, не избежала крушения и ""Русалка"",
затонув на переходе Ревель — Кронштадт вместе со всем экипажем. Однако
называют еще одну причину ее гибели, состоящую в том, что кое-кто по
принципиальным соображениям не выполнил своих обычных действий. Кто же
это был?        "	Ответ: Священник.    
"Вопрос 2: В этом разноцветном вопросе речь сперва пойдет не о простом народе, не о
темной краске, не о густом лесе, не о художественной обработке металла,
а об австрийце чешского происхождения, прославившегося рядом однотипных
творений. Одно из таких творений, но в ином жанре, стало для другого
европейца первым шагом к всемирной славе. Назовите обоих упомянутых в
вопросе творцов.        "	Ответ: Карл Черни и Артур Конан Дойл.    
"Вопрос 3: По некоторым данным, у Юлии Тимошенко ОНИ большие. Согласно медицинским
исследованиям, ОНИ могут быть причиной болей в спине. Люди, случайно
лишившиеся одного из НИХ, иногда предпочитают расстаться еще с одним. А
часть населения европейской страны, можно сказать, живет на одном из
НИХ. Назовите ИХ.        "	Ответ: Каблуки.    
"Вопрос 4: В англоязычном детективном романе лейтенант полиции осматривает в морге
неопознанную отсеченную голову. На вопрос, под каким именем проходит
данный труп, ему отвечают: ""Джон, естественно"". Дальше лейтенант, со
свойственным ему чувством юмора, делает предположение о конфессиональной
принадлежности покойника. Назовите эту конфессию.        "	Ответ: Баптист.    
"Вопрос 6: Преследуемый ястребом заяц, чтобы ястребу было труднее его догнать,
поступает именно так. А дрофы, пеликаны и лебеди поступают так
непосредственно перед взлетом, иначе взлететь им будет гораздо сложнее.
Ответьте тремя словами, что именно делают и зайцы, и крупные птицы?        "	Ответ: Бегут против ветра.    
